,Flight_miles_12mo,Balance,Qual_miles,cc1_miles,cc2_miles,cc3_miles,Bonus_miles,Bonus_trans
0,0,28143,0,1,1,1,174,1
1,0,19244,0,1,1,1,215,2
2,0,41354,0,1,1,1,4123,4
3,0,14776,0,1,1,1,500,1
4,2077,97752,0,4,1,1,43300,26
5,0,16420,0,1,1,1,0,0
6,0,84914,0,3,1,1,27482,25
7,250,20856,0,1,1,1,5250,4
8,3850,443003,0,3,2,1,1753,43
9,1150,104860,0,3,1,1,28426,28
10,0,40091,0,2,1,1,7278,10
11,0,96522,0,5,1,1,61105,19
12,0,43382,0,2,1,1,11150,20
13,0,43097,0,1,1,1,3258,6
14,0,17648,0,1,1,1,0,0
15,0,28495,0,4,1,1,49442,15
16,0,51890,0,4,1,1,48963,16
17,0,13958,0,1,1,1,4291,5
18,0,91473,0,3,1,1,27408,17
19,0,23354,0,3,1,1,10447,5
20,250,120576,0,5,1,1,58831,23
21,1800,185681,2024,1,1,1,13300,16
22,3450,20584,0,1,1,1,3450,11
23,150,66275,0,1,1,1,2533,11
24,700,205651,500,1,1,1,4025,21
25,0,20726,0,1,1,1,1375,4
26,1227,18521,0,1,1,1,1227,2
27,0,8828,0,1,1,1,0,0
28,100,59763,0,3,1,1,33772,20
29,500,19221,0,1,1,1,4655,8
30,0,177926,0,3,1,1,20797,13
31,0,10021,0,1,1,1,0,0
32,0,276571,0,4,1,1,42044,23
33,0,18047,0,1,1,1,100,1
34,0,43832,0,1,1,1,0,0
35,2500,123759,0,4,1,1,50572,23
36,550,23193,0,1,1,1,650,4
37,350,68666,0,1,1,1,350,2
38,0,59990,0,3,1,1,27878,17
39,0,2176,0,1,1,1,0,0
40,500,34616,0,1,1,1,1750,4
41,0,10470,0,4,1,1,38094,26
42,3250,60313,0,1,1,1,10000,26
43,0,619393,0,3,1,1,15008,14
44,0,121260,0,3,1,1,18493,18
45,2000,288865,967,1,1,1,23600,14
46,0,92336,0,2,1,1,11214,6
47,300,36924,0,1,1,1,5900,6
48,500,70312,0,3,1,1,34678,24
49,1150,17051,0,1,1,1,1150,4
50,6368,108137,0,1,1,1,6368,5
51,0,1300,0,1,1,1,370,1
52,0,118531,0,4,1,1,44577,38
53,650,121395,0,1,1,1,4970,8
54,0,38348,0,1,1,1,0,0
55,0,14448,0,1,1,1,1625,6
56,0,75971,0,4,1,1,34339,14
57,600,36298,0,1,1,1,3100,5
58,0,38077,0,3,1,1,34024,8
59,2200,95118,0,3,1,1,23188,23
60,0,134457,0,3,1,1,15588,14
61,0,19918,0,1,1,1,17601,11
62,0,10120,0,1,1,1,0,0
63,0,362642,0,1,1,1,28079,8
64,0,80250,0,1,1,1,895,2
65,5550,53914,0,3,1,1,33767,45
66,0,9375,0,1,1,1,1750,7
67,0,83237,0,4,1,1,35287,18
68,0,230715,0,3,1,1,24047,12
69,0,47457,0,3,1,1,12621,16
70,1150,84409,5031,2,1,1,15436,16
71,0,252386,0,4,1,1,39787,13
72,50,550367,0,3,1,1,12500,13
73,631,12646,0,1,1,1,631,4
74,0,123867,0,3,1,1,25308,17
75,0,129871,0,3,1,1,15776,22
76,0,109380,0,1,1,1,7537,16
77,0,111157,0,4,1,1,32883,19
78,0,49238,0,4,1,1,38037,18
79,556,38896,0,5,1,1,76988,16
80,0,4340,0,1,1,1,32685,5
81,1200,88443,0,1,1,1,1200,3
82,0,8454,0,1,1,1,498,9
83,0,61990,0,1,1,1,1625,6
84,0,24093,0,1,1,1,1750,7
85,900,35418,0,5,1,1,58557,18
86,0,40284,0,1,1,1,7719,5
87,1200,609477,0,3,1,1,21422,22
88,700,62553,0,2,1,1,7672,16
89,500,48433,0,1,1,1,3500,4
90,1250,20508,0,1,1,1,22250,8
91,2000,2000,0,1,1,1,2000,4
92,0,78629,0,4,1,1,36679,25
93,1500,143566,0,1,1,1,5000,5
